idx,drug_name,drug_text
610,Clarithromycin,"Clarithromycin, a semisynthetic macrolide antibiotic derived from erythromycin, inhibits bacterial protein synthesis by binding to the bacterial 50S ribosomal subunit. Binding inhibits peptidyl transferase activity and interferes with amino acid translocation during the translation and protein assembly process. Clarithromycin may be bacteriostatic or bactericidal depending on the organism and drug concentration. Clarithromycin is first metabolized to 14-OH clarithromycin, which is active and works synergistically with its parent compound. Like other macrolides, it then penetrates bacteria cell wall and reversibly binds to domain V of the 23S ribosomal RNA of the 50S subunit of the bacterial ribosome, blocking translocation of aminoacyl transfer-RNA and polypeptide synthesis. Clarithromycin also inhibits t"
611,Ropivacaine,"Ropivacaine is an aminoamide local anesthetic drug marketed by AstraZeneca under the trade name Naropin. It exists as a racemate of its S- and R-enantiomers, although the marketed form is supplied only as the purified S-enantiomer.[L42140] Local anesthetics like ropivacaine block the generation and conduction of nerve impulses, presumably by increasing the threshold for electrical excitation in the nerve, by slowing the propagation of the nerve impulse, and by reducing the rate of rise of the action potential. Specifically, they block the sodium channel and decrease chances of depolarization and consequent action potentials. In gene"
612,Indinavir,"A potent and specific HIV protease inhibitor that appears to have good oral bioavailability. [PubChem] Indinavir inhibits the HIV viral protease enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles."
613,Tamoxifen,"Tamoxifen is a non-steroidal antiestrogen used to treat estrogen receptor positive breast cancers as well as prevent the incidence of breast cancer in high risk populations.[A1025,L7799,L7802] Tamoxifen is used alone or as an adjuvant in these treatments.[L7799,L7802] Tamoxifen may no longer be the preferred treatment for these types of cancers as patients generally have better survival, side effect profiles, and compliance with [anastrozole].[A1026]

Tamoxifen was granted FDA approval on 30 December 1977.[L7799] Tamoxifen competitively inhibits estrogen binding to its receptor, which is critical for it's activity in breast cancer cells.[A1025] Tamoxifen leads to a decrease in tumor growth factor α and insulin-like growth factor 1, and an increase in sex hormone binding globulin.[A1025] The increase in sex hormon binding globulin limits the amount of freely available estradiol.[A1025] These changes reduce "
614,Quinidine barbiturate,"The administration of quinidine derivatives helps to observe various skin and mucosal reactions. A papulopurpuric eruption in a  patient (without thrombopenia) can be developed who is taking quinidine phenylethyl barbiturate intermittently and at reintroduction.(PMID: 9739909) Barbiturates work by binding to the GABAA receptor at either the alpha or the beta sub unit.  These are binding sites that are distinct from GABA itself and also distinct from the benzodiazepine binding site. Like benzodiazepines, barbiturates potentiate the effect of GABA at this receptor.  This GABAA receptor binding decreases input resistance, depresses burst and tonic firing, especially in ven"
615,Timolol,"Timolol is a nonselective beta-adrenergic antagonist given in an eye drop solution to reduce intraocular pressure, or pressure in the eyes.[L6724] It is also used in tablet form as a drug to treat hypertension.[L6727] Timolol was first approved by the FDA in 1978.[L6724] This drug is marketed by several manufacturers [L6736] and is an effective agent for the management of conditions such as open-angle glaucoma and hypertension. Timolol competes with adrenergic neurotransmitters for binding to beta(1)-adrenergic receptors in the heart and the beta(2)-receptors in the vascular and bronchial smooth muscle. This leads to diminished actions of catecholamines, which normally bind to adrenergic receptors and exert sympathetic effects leading to an increase in blood pressure and heart rate.[A179521] Beta(1)-receptor blockade by "
616,Methylprednisolone,"Methylprednisolone is a [prednisolone] derivative glucocorticoid with higher potency than [prednisone].[A188811] It was first described in the literature in the late 1950s.[A188811,A188814]

Methylprednisolone was granted FDA approval on 24 October 1957.[L10785] In the outbreak of COVID-19, low dose methylprednisolone-based therapy was successful in treating COVID-19-associated pneumonia in one patient with long-term immunosuppression.[A192813] The efficacy of methylprednisolone in novel coronavirus pneumonia is being investigated further in clinical trials.[L12666] The short term effects of corticosteroids are decreased vasodilation and permeability of capillaries, as well as decreased leukocyte migration to sites of inflammation.[A187463] Corticosteroids binding to the glucocorticoid receptor mediates changes in gene expression that lead to multiple downstream effects over hours to days.[A187463]

Glucocorticoids inhibit neutrophil apoptosis and demargina"
617,Lamivudine,"A reverse transcriptase inhibitor and zalcitabine analog in which a sulfur atom replaces the 3' carbon of the pentose ring. It is used to treat Human Immunodeficiency Virus Type 1 (HIV-1) and hepatitis B (HBV). Lamivudine is a synthetic nucleoside analogue and is phosphorylated intracellularly to its active 5'-triphosphate metabolite, lamivudine triphosphate (L-TP). This nucleoside analogue is incorporated into viral DNA by HIV reverse transcriptase and HBV polymerase, resulting in DNA chain termination."
618,Pilocarpine,"A naturally occurring alkaloid derived from the _Pilocarpus_ plants, pilocarpine is a muscarinic acetylcholine agonist.[A262016, A262036] Pilocarpine is associated with parasympathomimetic effects by selectively working on muscarinic receptors.[A262036] Pilocarpine is used to treat dry mouth and various ophthalmic conditions, including elevated intraocular pressure and glaucoma. The usage of glaucoma by pilocarpine dates back to 1875.[A262041] The muscarinic M3 receptor is expressed in various endocrine and exocrine glands, including the gastric and salivary glands.[A262041] It is also found in smooth muscle cells in pupillary sphincter and ciliary bodies. The M3 receptor is a G<sub>q</sub>-protein-coupled receptor that activates phospholipase C and upregulates inositol trisphosphate and intracellular calcium. M3 receptor activation has"
619,Iopamidol,"Iopamidol is a contrast agent developed by Bracco with nonionic, low-osmolar properties."
620,Ramipril,"Ramipril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is metabolized to ramiprilat in the liver and, to a lesser extent, kidneys. Ramiprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Ramipril may be used in the treatment of hypertension, congestive heart failure, nephropathy, and to reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events. Ramipril inhibits the RAAS system by binding to and inhibiting ACE thereby preventing the conversion of angiotensin I to angiotensin II. [T116] As plasma levels of angiotensin II fall, less activation of the G-protein coupled receptors angiotensin receptor I (AT<sub>1</sub>R) and angiotensin receptor II (AT<sub>2</sub>R) occurs. 

AT<sub>1</sub>R mediates vasoconstriction, inflammation, fibrosis"
621,Azithromycin,"Azithromycin is a broad-spectrum macrolide antibiotic with a long half-life and a high degree of tissue penetration [A174172]. It was initially approved by the FDA in 1991 [A174175].

It is primarily used for the treatment of respiratory, enteric and genitourinary infections and may be used instead of other macrolides for some sexually transmitted and enteric infections. It is structurally related to erythromycin [A174169].

Azithromycin [9-deoxo-9a-aza-9a-methyl-9a-homoerythromycin] is a part of the _azalide_ subclass of macrolides, and contains a 15-membered ring, with a methyl-substituted nitrogen instead of a carbonyl group at the 9a position on the aglycone ring, which allows for the prevention of its metabolism. This differentiates azithromycin from other types of macrolides [A17 In order to replicate, bacteria require a specific process of protein synthesis, enabled by ribosomal proteins [A6505]. Azithromycin binds to the 23S rRNA of the bacterial 50S ribosomal subunit. It stops bacterial protein synthesis by inhibiting the transpeptidation/translocation step of protein synthesis and by inhibiting the assembly of the 50S ribosomal subunit [FDA label], [A14179]. This resul"
622,Enalapril,"Enalapril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor drug class that works on the renin-angiotensin-aldosterone system, which is responsible for the regulation of blood pressure and fluid and electrolyte homeostasis. Enalapril is an orally-active and long-acting nonsulphydryl antihypertensive agent that suppresses the renin-angiotensin-aldosterone system to lower blood pressure. It was developed from a targeted research programmed using molecular modelling.[A18459] Being a prodrug, enalapril is rapidly biotransformed into its active metabolite, [enalaprilat], which is responsible for the pharmacological actions of enalapril. The active metabolite of enalapril competitively inhibits the ACE to hinder the production of angiotensin II, a key component of the r The renin-angiotensin-aldosterone system (RAAS) is a signaling pathway that works in synergism with the sympathetic system to regulate blood pressure and fluid and electrolyte homeostasis. Activation of this system upon stimulation by different factors, such as low blood pressure and nerve impulses, leads to increased release of norepinephrine (NE) from sympathetic nerve terminals and effects on t"
623,Temsirolimus,"Temsirolimus is a derivative of sirolimus used in the treatment of renal cell carcinoma (RCC). It was developed by Wyeth Pharmaceuticals under the trade name Torisel. Temsirolimus was approved by the FDA in late May 2007 as well as the European Medicines Agency (EMEA) on November 2007. Temsirolimus is an inhibitor of mTOR (mammalian target of rapamycin). Temsirolimus binds to an intracellular protein (FKBP-12), and the protein-drug complex inhibits the activity of mTOR that controls cell division. Inhibition of mTOR activity resulted in a G1 growth arrest in treated tumor cells. When mTOR was inhibited, its ability to phosphorylate p70S6k and S6 ribosomal protein, which are down"
624,Trandolapril,"Trandolapril is a non-sulhydryl prodrug that belongs to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is metabolized to its biologically active diacid form, trandolaprilat, in the liver. Trandolaprilat inhibits ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Trandolapril may be used to treat mild to moderate hypertension, to improve survival following myocardial infarction in clinically stable patients with left ventricular dysfunction, as an adjunct treatment for congestive heart failure, and to slow the rate of progression of renal disease in hypertensive individuals with diabetes mellitus and microalbuminuri There are two isoforms of ACE: the somatic isoform, which exists as a glycoprotein comprised of a single polypeptide chain of 1277; and the testicular isoform, which has a lower molecular mass and is thought to play a role in sperm maturation and binding of sperm to the oviduct epithelium. Somatic ACE has two functionally active domains, N and C, which arise from tandem gene duplication. Although "
625,Gadopentetate dimeglumine,"A complex of gadolinium with a chelating agent, diethylenetriamine penta-acetic acid (DTPA see pentetic acid), that is given to enhance the image in cranial and spinal MRIs. (From Martindale, The Extra Pharmacopoeia, 30th ed, p706) Based on the behavior of protons when placed in a strong magnetic field, which is interpreted and transformed into images by magnetic resonance (MR) instruments. MR images are based primarily on proton density and proton relaxation dynamics. MR instruments are sensitive to two different relaxation processes, the T1 (spin-lattice or longitudinal relaxation time) and T2 (spin-spin or transverse rela"
626,Levetiracetam,"Levetiracetam is a drug within the pyrrolidine class that is used to treat various types of seizures stemming from epileptic disorders. It was first approved for use in the United States in 1999 and is structurally and mechanistically unrelated to other anti-epileptic drugs (AEDs).[L8606,L8600,L8615] Levetiracetam possesses a wide therapeutic index[L8615,A185918] and little-to-no potential to produce, or be subject to, pharmacokinetic interactions[L8606,L8600,L8615] - these characteristics make it a desirable choice over other AEDs, a class of drugs notorious for having generally narrow therapeutic indexes and a propensity for involvement in drug interactions.[A185927] The exact mechanism through which levetiracetam exerts its anti-epileptic effects is unclear, but is thought to be unique amongst other anti-epileptic medications. Current knowledge suggests that levetiracetam’s binding to synaptic vesicle protein 2A (SV2A) is a key driver of its action. SV2A is a membrane-bound protein that is found on synaptic vesicles and is ubiquitous throughout the CNS[A12546"
627,Cefpodoxime,"Cefpodoxime is an oral third generation cephalosporin antibiotic with effectiveness against most Gram positive and Gram negative bacteria. Commonly used to treat acute otitis media, pharyngitis, and sinusitis, cefpodoxime proxetil is a prodrug which is absorbed and de-esterified by the intestinal mucosa to Cefpodoxime. Cefpodoxime is active against a wide spectrum of Gram-positive and Gram-negative bacteria. Cefpodoxime is stable in the presence of beta-lactamase enzymes. As a result, many organisms resistant to penicillins and cephalosporins, due to their production of beta-lactamase, may be susceptible to cefpodoxime. Cefpodoxime is inactivated by certain extended spectrum beta-lactamases. The bactericidal act"
628,Paricalcitol,"Paricalcitol is a synthetic vitamin D analog. Paricalcitol has been used to reduce parathyroid hormone levels. Paricalcitol is indicated for the prevention and treatment of secondary hyperparathyroidism associated with chronic renal failure. Paricalcitol is a synthetic, biologically active vitamin D analog of calcitriol with modifications to the side chain (D2) and the A (19-nor) ring. Preclinical andin vitro studies have demonstrated that paricalcitol's biological actions are mediated through binding of the VDR, which results in the selective activation of vitamin D responsive pathways. Vitamin D and paricalcitol have been shown to r"
629,Cyproterone acetate,"An anti-androgen that, in the form of its acetate (cyproterone acetate), also has progestational properties. It is used in the treatment of hypersexuality in males, as a palliative in prostatic carcinoma, and, in combination with estrogen, for the therapy of severe acne and hirsutism in females. The direct antiandrogenic effect of cyproterone is blockage of the binding of dihydrotestosterone to the specific receptors in the prostatic carcinoma cell. In addition, cyproterone exerts a negative feed-back on the hypothalamo-pituitary axis, by inhibiting the secretion of luteinizing hormone resulting in diminished production of testicular testosterone."
630,Alprostadil,"Alprostadil is a chemically-identical synthetic form of prostaglandin E1 (PGE1), a potent vasodilator produced endogenously. In 1996, the FDA approved the use of alprostadil, administered either with an intracavernosal injection or an intraurethral suppository, for the treatment of erectile dysfunction, and it is used in men for whom oral treatment is either contraindicated or ineffective. After administration, alprostadil promotes smooth muscle relaxation of the corpus cavernosal.[A257068,A257088] 

Alprostadil is also used in neonatal patients with congenital heart defects that depend on a patent ductus for survival until corrective or palliative surgery can be performed. This drug causes vasodilation by directly affecting vascular and ductus arteriosus (DA) smooth muscle, preventing o Alprostadil is a smooth muscle relaxant that promotes vasodilation and platelet aggregation inhibition. In neonatal patients with ductus arteriosus patency, alprostadil relaxes the ductus arteriosus (DA) smooth muscle, preventing or reversing the functional closure of the DA that occurs shortly after birth. This results in increased pulmonary or systemic blood flow in infants. Alprostadil appears "
631,Zuclopenthixol,"Zuclopenthixol, also known as Zuclopentixol or Zuclopenthixolum, is an antipsychotic agent. Zuclopenthixol is a thioxanthene-based neuroleptic with therapeutic actions similar to the phenothiazine antipsychotics. It is an antagonist at D1 and D2 dopamine receptors. Major brands of zuclopenthixol are Cisordinol, Acuphase, and Clopixol. This drug is a liquid. This compound belongs to the thioxanthenes. These are organic polycyclic compounds containing a thioxanthene moiety, which is an aromatic tricycle derived from xanthene by replacing the oxygen atom with a sulfur atom. Known drug targets of zuclopenthixol include 5-hydroxytryptamine receptor 2A, D(1B) dopamine receptor, D(2) dopamine receptor, D(1A) dopamine receptor, and alpha-1A adrenergic receptor. It is known that zuclopenthixol is m Zuclopenthixol is a typical antipsychotic neuroleptic drug of the thioxanthene class. It mainly acts by antagonism of D1 and D2 dopamine receptors. Zuclopenthixol also has high affinity for alpha1-adrenergic and 5-HT2 receptors. It has weaker histamine H1 receptor blocking activity, and even lower affinity for muscarinic cholinergic and alpha2-adrenergic receptors."
632,Gemcitabine,"Gemcitabine is a nucleoside analog and a chemotherapeutic agent. It was originally investigated for its antiviral effects, but it is now used as an anticancer therapy for various cancers.[A233135] Gemcitabine is a cytidine analog with two fluorine atoms replacing the hydroxyl on the ribose.[A233145] As a prodrug, gemcitabine is transformed into its active metabolites that work by replacing the building blocks of nucleic acids during DNA elongation, arresting tumour growth and promoting apoptosis of malignant cells.[L32960] The structure, metabolism, and mechanism of action of gemcitabine are similar to [cytarabine], but gemcitabine has a wider spectrum of antitumour activity.[A233140]

Gemcitabine is marketed as Gemzar and it is available as intravenous injection. It is approved by the F Gemcitabine is a potent and specific deoxycytidine analog. After uptake into malignant cells, gemcitabine is phosphorylated by deoxycytidine kinase to form gemcitabine monophosphate, which is then converted to the active compounds, gemcitabine diphosphate (dFdCDP) and gemcitabine triphosphate (dFdCTP). These active metabolites are nucleosides that mediate antitumour effects. dFdCTP competes with d"
633,Travoprost,"Travoprost is a synthetic isopropyl ester prodrug of a prostaglandin F2alpha (F2α) analogue and selective FP prostanoid receptor agonist. It is used to decrease intraocular pressure in open-angle glaucoma and ocular hypertension.[L49434] Unlike other prostaglandin analogues, travoprost demonstrates full agonism and high selectivity at the prostanoid receptor, reporting a higher efficacy in reducing intraocular pressure and a reduced risk for developing off-target side effects.[A262904] Travoprost is a prodrug. Upon administration, travoprost is absorbed through the cornea and hydrolyzed to its active metabolite, travoprost free acid. The ester moiety of the free acid allows for enhanced penetration into the aqueous humour.[A262899] While the exact mechanism of travoprost is largely unknown, it is believed to be related to its full agonist activity for the prostaglandin FP recept"
634,Zidovudine,"A dideoxynucleoside compound in which the 3&#39;-hydroxy group on the sugar moiety has been replaced by an azido group. This modification prevents the formation of phosphodiester linkages which are needed for the completion of nucleic acid chains. The compound is a potent inhibitor of HIV replication, acting as a chain-terminator of viral DNA during reverse transcription. It improves immunologic function, partially reverses the HIV-induced neurological dysfunction, and improves certain other clinical abnormalities associated with AIDS. Its principal toxic effect is dose-dependent suppression of bone marrow, resulting in anemia and leukopenia. [PubChem] Zidovudine, a structural analog of thymidine, is a prodrug that must be phosphorylated to its active 5′-triphosphate metabolite, zidovudine triphosphate (ZDV-TP). It inhibits the activity of HIV-1 reverse transcriptase (RT) via DNA chain termination after incorporation of the nucleotide analogue. It competes with the natural substrate dGTP and incorporates itself into viral DNA. It is also a weak "
635,Cladribine,"Cladribine is a purine analogue or a chlorinated derivative of adenine [A263733] that causes apoptosis of B and T lymphocytes.[A350] Cladribine was first approved in the United States in 1993 [A263713] initially as a treatment for a number of hematological malignancies; currently, it is approved for the treatment of hairy cell leukemia.[A263733] In 2017 in Europe and in 2019 in the United States, cladribine was also approved for the treatment multiple sclerosis.[A263718] Heightened activity of B and T lymphocytes have been implicated in the pathophysiology of hematological malignancies and MS.[A350, A263723, A263728] Cladribine is a purine nucleoside analog that closely resembles the molecular structure of deoxyadenosine.[A350] Upon uptake by dividing and nondividing lymphocytes via nucleoside transporter proteins,[A263728] cladribine is converted intracellularly "
636,Nicotine,"Nicotine is highly toxic alkaloid. It is the prototypical agonist at nicotinic cholinergic receptors where it dramatically stimulates neurons and ultimately blocks synaptic transmission. Nicotine is also important medically because of its presence in tobacco smoke. Nicotine is a stimulant drug that acts as an agonist at nicotinic acetylcholine receptors. These are ionotropic receptors composed up of five homomeric or heteromeric subunits. In the brain, nicotine binds to nicotinic acetylcholine receptors on dopaminergic neurons in the cortico-limbic pathways. This causes the channel to open and allow conductance of multiple cations including sodium, calcium, "
637,Galantamine,"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disord Alzheimer’s disease is characterized by progressive, irreversible degeneration of acetylcholine-producing neurons, cognitive impairment, and the accumulation of neurofibrillary tangles and amyloid plaques.[A182993,A203558] The cholinergic system plays a critical role in memory, alongside other important neural functions such as attention, learning, stress response, wakefulness and sleep, and senso"
638,Dorzolamide,"Dorzolamide is a non-bacteriostatic sulfonamide derivative [A1304] and topical carbonic anhydrase (CA) inhibitor that treats elevated intraocular pressure (IOP) associated with open-angle glaucoma and ocular hypertension.[L11377] It works by blocking an enzyme in the ciliary process that regulates ion balance and fluid pressure in the eyes.[A1303] Unlike oral CA inhibitors, dorzolamide has negligible effects of acid-base or electrolyte disturbances and other systemic adverse effects.[A1304] First marketed in 1995,[A190624] dorzolamide is available in ophthalmic solutions as monotherapy marketed as Trusopt [L11377] or in combination with [timolol] as Cosopt PF.[L11380] Elevated intraocular pressure is a characteristic manifestation of ocular hypertension or open-angle glaucoma. The level of intraocular pressure (IOP) is governed by the balance between the production of aqueous humour (by ocular ciliary processes) and its outflow from the anterior segment of the eye via trabecular (conventional) or uveoscleral (unconventional) pathways. When there is an increase "
639,Pravastatin,"Pravastatin is the 6-alpha-hydroxy acid form of [mevastatin].[T303] Pravastatin was firstly approved in 1991 becoming the second available statin in the United States. It was the first statin administered as the active form and not as a prodrug.[T274] This drug was developed by Sankyo Co. Ltd.; however, the first approved pravastatin product was developed by Bristol Myers Squibb and FDA approved in 1991.[L6142]

Pravastatin is made through a fermentation process in which [mevastatin] is first obtained. The manufacturing process is followed by the hydrolysis of the lactone group and the biological hydroxylation with _Streptomyces carbophilus_ to introduce the allylic 6-alcohol group.[T239] Pravastatin is a specific inhibitor of the hepatic HMG-CoA reductase in humans.[T274] The inhibition of this enzyme produces a reduction in cholesterol biosynthesis as HMG-CoA reductase activity is an early-limiting step in cholesterol biosynthesis.[A177397]

The inhibitory mechanism of action produces a reduction in cholesterol synthesis which in order has been observed to increase the number o"
640,Estropipate,"Estrone sulfate (as estropipate) is a form of estrogen. It has several uses such as: alleviate symptoms of menopause as hormone replacement therapy, treatment some types of infertility, treatment of some conditions leading to underdevelopment of female sexual characteristics, treatment of vaginal atrophy, treatment of some types of breast cancer (particularly in men and postmenopausal women), treatment of prostate cancer and prevention of osteoporosis. Estradiol enters target cells freely (e.g., female organs, breasts, hypothalamus, pituitary) and interacts with a target cell receptor. When the estrogen receptor has bound its ligand it can enter the nucleus of the target cell, and regulate gene transcription which leads to formation of messenger RNA. The mRNA interacts with ribosomes to produce specific proteins that express the effect of estrad"
641,Pentostatin,"A potent inhibitor of adenosine deaminase. The drug is effective in the treatment of many lymphoproliferative malignancies, particularly hairy-cell leukemia. It is also synergistic with some other antineoplastic agents and has immunosuppressive activity. Pentostatin is a potent transition state inhibitor of adenosine deaminase (ADA), the greatest activity of which is found in cells of the lymphoid system. T-cells have higher ADA activity than B-cells, and T-cell malignancies have higher activity than B-cell malignancies. The cytotoxicity that results from prevention of catabolism of adenosine or deoxyadenosine is thought to be due to elevated intr"
642,Triamcinolone,"Triamcinolone is a corticosteroid used to treat various inflammatory conditions in the body from allergic rhinitis to acute exacerbations of multiple sclerosis.[L8255] Triamcinolone can be used as a one time adjunct treatment of osteoarthritic knee pain,[L8264] or first line as a topical treatment of corticosteroid responsive dermatoses.[L8249] Triamcinolone is more commonly seen in the forms triamcinolone hexacetonide, triamcinolone acetonide, and triamcinolone diacetate.[L8246,L8249,L8252,L8255,L8258,L8261,L8264]

Triamcinolone was granted FDA approval on 3 December 1957.[L8243] In October 2021, a suspension of triamcinolone acetonide was approved for suprachoroidal injection - the first suprachoroidal injection to receive FDA approval[L38973] - for the treatment of patients with macul Corticosteroids like triamcinolone inhibit phospholipase A2 on cell membranes, preventing the breakdown of lysosomal membranes of leukocytes, which in turn prevent the formation of arachidonic acid, which decrease expression of cyclooxygenase and lipoxygenase, inhibiting synthesis of prostaglandins and leukotrienes.[A184463] Anti-inflammatory activity occurs via reversal of vascular dilation and r"
643,Propofol,"Propofol is an intravenous anaesthetic agent used for induction and maintenance of general anaesthesia. IV administration of propfol is used to induce unconsciousness after which anaesthesia may be maintained using a combination of medications. Recovery from propofol-induced anaesthesia is generally rapid and associated with less frequent side effects (e.g. drowsiness, nausea, vomiting) than with thiopental, methohexital, and etomidate. Propofol may be used prior to diagnostic procedures requiring anaesthesia, in the management of refractory status epilepticus, and for induction and/or maintenance of anaesthesia prior to and during surgeries. The action of propofol involves a positive modulation of the inhibitory function of the neurotransmitter gama-aminobutyric acid (GABA) through GABA-A receptors."
644,Tobramycin,"Aminoglycosides, many of which are derived directly from _Streptomyces_ spp., are concentration-dependent bactericidal antibiotics with a broad spectrum of activity against Gram-positive and Gram-negative organisms.[A232294] Inhaled tobramycin is notable for its use in treating chronic _Pseudomonas aeruginosa_ infections in cystic fibrosis patients, as _P. aeruginosa_ is notoriously inherently resistant to many antibiotics.[A232294, A232299, L32739] However, tobramycin can also be administered intravenously and topically to treat a variety of infections caused by susceptible bacteria.[L32744, L32749] Its use is limited in some cases by characteristic toxicities such as nephrotoxicity and ototoxicity, yet it remains a valuable option in the face of growing resistance to front-line antibioti Tobramycin is a 4,6-disubstituted 2-deoxystreptamine (DOS) ring-containing aminoglycoside antibiotic with activity against various Gram-negative and some Gram-positive bacteria.[L32739, L32744, L32749] The mechanism of action of tobramycin has not been unambiguously elucidated, and some insights into its mechanism rely on results using similar aminoglycosides. In general, like other aminoglycoside"
645,Daunorubicin,"A very toxic anthracycline aminoglycoside antineoplastic isolated from Streptomyces peucetius and others, used in treatment of leukemia and other neoplasms. Daunorubicin has antimitotic and cytotoxic activity through a number of proposed mechanisms of action: Daunorubicin forms complexes with DNA by intercalation between base pairs, and it inhibits topoisomerase II activity by stabilizing the DNA-topoisomerase II complex, preventing the religation portion of the ligation-religation reaction that topoisomerase II catalyzes."
646,Irinotecan,"Irinotecan is a topoisomerase inhibitor used for chemotherapy. It is a water-soluble analogue of [camptothecin], which is extracted from the Chinese tree _Camptotheca acuminate_.[A263376] The bis-piperidine side chain in the structure of irinotecan bestows enhanced water solubility.[A263381] As an anticancer drug, irinotecan was first commercially available in Japan in 1994 to treat various cancers such as lung, cervical and ovarian cancer.[A263376] Approved by the FDA in 1996,[A263366] irinotecan is used to treat colorectal cancer and pancreatic adenocarcinoma.[L50181, L50186, L50201] Irinotecan liposome was approved by the FDA in February 2024.[L50186]

The active metabolite SN-38 is also a potent inhibitor of DNA topoisomerase I. Both irinotecan and SN-38 mediate antitumor activity by DNA topoisomerase I is a nuclear enzyme that ensures proper DNA topology during replication and transcription.[A263381] It relieves torsional strain in the DNA double helix during replication and transcription by creating reversible single-strand breaks.[A263371, L50181] 

Upon administration, irinotecan is converted into its active metabolite, SN-38, by carboxylesterase in the liver and gastroi"
647,Quinidine,"Quinidine is a D-isomer of [quinine] present in the bark of the Cinchona tree and similar plant species. This alkaloid was first described in 1848 and has a long history as an antiarrhythmic medication.[A38016,A250050] Quinidine is considered the first antiarrhythmic drug (class Ia) and is moderately efficacious in the acute conversion of atrial fibrillation to normal sinus rhythm.[A38016] It prolongs cellular action potential by blocking sodium and potassium currents. A phenomenon known as “quinidine syncope” was first described in the 1950s, characterized by syncopal attacks and ventricular fibrillation in patients treated with this drug.[A38016] Due to its side effects and increased risk of mortality, the use of quinidine was reduced over the next few decades. However, it continues to b Quinidine has a complex electrophysiological profile that has not been fully elucidated. The antiarrhythmic actions of this drug are mediated through effects on sodium channels in Purkinje fibers. Quinidine blocks the rapid sodium channel (I<sub>Na</sub>), decreasing the phase zero of rapid depolarization of the action potential.[A250050] Quinidine also reduces repolarizing K<sup>+</sup> currents "
648,Quinine,"An alkaloid derived from the bark of the cinchona tree. It is used as an antimalarial drug, and is the active ingredient in extracts of the cinchona that have been used for that purpose since before 1633. Quinine is also a mild antipyretic and analgesic and has been used in common cold preparations for that purpose. It was used commonly and as a bitter and flavoring agent, and is still useful for the treatment of babesiosis. Quinine is also useful in some muscular disorders, especially nocturnal leg cramps and myotonia congenita, because of its direct effects on muscle membrane and sodium channels. The mechanisms of its antimalarial effects are not well understood.

Quinine (GLS-1200) was also investigated in clinical trials for its efficacy in preventing SARS-CoV-2 infection (NCT0440818 The theorized mechanism of action for quinine and related anti-malarial drugs is that these drugs are toxic to the malaria parasite. Specifically, the drugs interfere with the parasite's ability to break down and digest hemoglobin. Consequently, the parasite starves and/or builds up toxic levels of partially degraded hemoglobin in itself."
649,Orlistat,"The global prevalence of obesity is increasing rapidly. Obesity-related complications lead to significant personal and economic burden by reducing quality of life and increasing the cost of healthcare.  In some individuals, diet and exercise are insufficient to maintain weight loss, and pharmacological or surgical intervention is required.[A229928]

Orlistat is a lipase inhibitor used in the treatment of obesity that works by inhibiting fat-metabolizing enzymes. It was approved by the FDA for use in combination with a reduced-calorie diet in 1999.[L11130] This drug is a generally well-tolerated and effective weight-loss aid and is now available in both over-the-counter[L31963] and prescription preparations, depending on the dosage quantity.[L11130] Orlistat is a potent and selective inhibitor of various lipase enzymes responsible for the metabolism of fat. It acts in the gastrointestinal (GI) tract via covalent binding to the serine residues located on the active site of both gastric and pancreatic lipase. When orlistat is taken with food containing fat, it partially inhibits the hydrolysis of triglycerides. This decreases absorption of mono"
650,Gemifloxacin,"Gemifloxacin is a quinolone antibacterial agent with a broad-spectrum activity that is used in the treatment of acute bacterial exacerbation of chronic bronchitis and mild-to-moderate pneumonia. It is available in oral formulations. Gemifloxacin acts by inhibiting DNA synthesis through the inhibition of both DNA gyrase and topoisomerase IV, which are essential for bacterial growth. The bactericidal action of gemifloxacin results from inhibition of the enzymes topoisomerase II (DNA gyrase) and topoisomerase IV, which are required for bacterial DNA replication, transcription, repair, and recombination."
651,2-Fluoroadenosine,2-Fluoroadenosine
